NCBI GeneID	Symbol	Common Name	Synonyms
337179	mmp2	zebrafish	wu:fa99h12,wu:fk89d01
58025	ccnb1	zebrafish	ccnb,cycb,spct,cb267,cycb1,spr(l),wu:fa19g04,wu:fb16d01,wu:fb16e07,wu:fi21c01
140815	cebpa	zebrafish	c/ebpa,cb1062,fj20f03,unm_sm1120,wu:fj20f03
30177	ikzf1	zebrafish	ikaros,znfn1a1
30254	tbx16l	zebrafish	tbx6,cb123,tbx6l,z.TBX6,ZF-TBX6,sb:cb123,etID309793.5
30529	sox3	zebrafish	sb:cb493,id:ibd2036,wu:fd02a08,zgc:110279
404036	nos2a	zebrafish	nos2,inosa,si:dkey-57m14.4
494052	gcga	zebrafish	gcg,glu,zgc:103616
58112	nkx2.4b	zebrafish	titf1,nk2.1a,nkx2.1,titf1a,nkx2.1a,nkx2.4a
140618	tfap2a	zebrafish	ap2,ap2a,cb93,fb83f04,fc31a07,wu:fb83f04,wu:fc31a07
30413	opn1lw1	zebrafish	lws1,LWS-1,rdops,zfred
334098	hsd11b2	zebrafish	11-DH2,wu:fi31d01
60637	pax8	zebrafish	
84702	cp	zebrafish	wu:fi23f10
30288	her6	zebrafish	HER-6,cb129
30301	her4.5	zebrafish	wu:fb74d11,si:ch73-21g5.6
30767	stat3	zebrafish	STAT3b1,STAT3b2,z-Stat3,wu:fc15d02,wu:fl59g06
353314	dusp6	zebrafish	Mkp3,wu:fd99d09
436841	gc	zebrafish	zgc:92753,zgc:110389
58114	actc1b	zebrafish	acta1,fa27h01,fb83f06,wu:fa27h01,wu:fb83f06
30400	b2m	zebrafish	bwm,wu:fa94c05,wu:fb10a09
30443	ctslb	zebrafish	catL,cb15,ctsl,hgg1,ctsl1b,wu:fb30g09
353222	gnrh2	zebrafish	GnRH-II,cGnRH-II
554230	kdr	zebrafish	flk1,kdrb,flk1b,vegfr2b,wu:fc31a09,si:ch211-254j6.1,si:busm1-205d10.1,si:ch211-278f21.4
30157	isl2a	zebrafish	isl2,ISL-2,zfIsl-2,wu:fc29g02
449556	ttr	zebrafish	zgc:103583
559054	hmgcra	zebrafish	hmgcr1,hmgcr1a,zgc:136576,si:ch211-129a6.5
368662	ptf1a	zebrafish	PTF1,zgc:112216,si:zc142h2.2
