NCBI GeneID	Symbol	Common Name	Synonyms
17967	Ncam1	house mouse	CD56,Ncam,E-NCAM,NCAM-1
18646	Prf1	house mouse	Pfn,Pfp,Prf-1
22173	Tyr	house mouse	c,Oca1,skc35,albino
12394	Runx1	house mouse	AML1,Cbfa2,Pebp2a2,Pebpa2b,CBF-alpha-2
12487	Cd28	house mouse	
12491	Cd36	house mouse	FAT,GPIV,Scarb3
12608	Cebpb	house mouse	LAP,LIP,CRP2,NF-M,Nfil6,NF-IL6,IL-6DBP,C/EBPbeta
15376	Foxa2	house mouse	Hnf3b,Tcf3b,Hnf-3b,Tcf-3b,HNF3beta,HNF3-beta
16001	Igf1r	house mouse	hyft,CD221,IGF-1R,D930020L01,A330103N21Rik
11596	Ager	house mouse	RAGE
13653	Egr1	house mouse	egr,TIS8,Zenk,Egr-1,NGFIA,Zfp-6,ETR103,Krox-1,Krox24,NGF1-A,NGFI-A,Zif268,Krox-24,A530045N19Rik
142980	Tlr3	house mouse	
15452	Hprt1	house mouse	Hprt,HPGRT
16168	Il15	house mouse	IL-15
16337	Insr	house mouse	IR,IR-A,IR-B,CD220,4932439J01Rik,D630014A15Rik
12525	Cd8a	house mouse	Ly-2,Ly-B,Ly-35,Lyt-2
12647	Chat	house mouse	CHOACTase,B230380D24Rik
13813	Eomes	house mouse	Tbr2,TBR-2
16002	Igf2	house mouse	Mpr,M6pr,Peg2,Igf-2,Igf-II
170743	Tlr7	house mouse	
17311	Kitl	house mouse	Gb,SF,Sl,Clo,Con,Mgf,SCF,SLF,blz,Kitlg,contrasted
17319	Mif	house mouse	GIF,DER6,Glif
18040	Nefm	house mouse	Nfm,NF-M,Nef3,NF160,NF165
12824	Col2a1	house mouse	Dmm,Lpk,Col2,Del1,Col2a,Col2a-1,M100413,Rgsc413,Rgsc856
14360	Fyn	house mouse	
16163	Il13	house mouse	Il-13
16333	Ins1	house mouse	Ins-1,Ins2-rs1
17342	Mitf	house mouse	Wh,bw,mi,vit,BCC2,Bhlhe32,Gsfbcc2,Vitiligo
22431	Wt1	house mouse	Wt-1,D630046I19Rik
22601	Yap1	house mouse	Yap,Yki,Yap65,Yorkie
14182	Fgfr1	house mouse	FLG,Fr1,MFR,Eask,Hspy,Flt-2,c-fgr,FGFR-I,Fgfr-1,bFGF-R-1
14463	Gata4	house mouse	Gata-4
16854	Lgals3	house mouse	GBP,L-34,gal3,Mac-2
18787	Serpine1	house mouse	PAI1,PAI-1,Planh1
57765	Tbx21	house mouse	TBT1,Tbet,Tblym
11441	Chrna7	house mouse	Acra7,nAchR,alpha7
11848	Rhoa	house mouse	Arha,Arha1,Arha2
12322	Camk2a	house mouse	CaMKII,mKIAA0968
13866	Erbb2	house mouse	Neu,HER2,HER-2,c-neu,Erbb-2,c-erbB2,l11Jus8,mKIAA3023
14130	Fcgr2b	house mouse	CD32,Fcgr2,Fcr-2,Fcr-3,Ly-17,LyM-1,Lym-1,fcRII,FcgRII,Fcgr2a,Ly-m20,Fc[g]RII,F630109E10Rik
14268	Fn1	house mouse	Fn,Fn-1,E330027I09
15567	Slc6a4	house mouse	Htt,Sert,5-HTT
16409	Itgam	house mouse	CR3,CR3A,MAC1,Cd11b,Ly-40,Mac-1,Mac-1a,CD11b/CD18,F730045J24Rik
16452	Jak2	house mouse	Fd17
18015	Nf1	house mouse	Dsk9,Nf-1,Mhdadsk9,E030030H24Rik
18538	Pcna	house mouse	
18708	Pik3r1	house mouse	PI3K,p50alpha,p55alpha,p85alpha
192119	Dicer1	house mouse	aviD,D12Ertd7e,mKIAA0928,1110006F08Rik
20779	Src	house mouse	pp60c-src
21813	Tgfbr2	house mouse	DNIIR,RIIDN,TBR-II,TbetaRII,TbetaR-II,1110020H15Rik
21947	Cd40lg	house mouse	IGM,IMD3,Ly62,TRAP,gp39,CD154,Cd40l,HIGM1,Ly-62,T-BAM,CD40-L,Tnfsf5,Tnlg8b
22408	Wnt1	house mouse	sw,Int-1,Wnt-1,swaying
387173	Mir155	house mouse	Mirn155,mir-155,mmu-mir-155
52897	Rbfox3	house mouse	NeuN,Fox-3,Hrnbp3,Neuna60
106759	Ticam1	house mouse	TRIF,TICAM-1
12125	Bcl2l11	house mouse	Bim,Bod,bcl2-L-11,1500006F24Rik
12229	Btk	house mouse	xid
12558	Cdh2	house mouse	CDHN,Ncad,N-CAD
14160	Lgr5	house mouse	FEX,Gpr49
14460	Gata1	house mouse	Gf-1,eryf1,Gata-1
18609	Pdx1	house mouse	Ipf1,IDX-1,IPF-1,Mody4,STF-1,pdx-1
19713	Ret	house mouse	PTC,RET9,RET51,c-Ret
20656	Sod2	house mouse	MnSOD,Sod-2
20850	Stat5a	house mouse	STAT5
